"EQN_NO","LIFEFORM","SPP_CODE","SPP_TEXT","BIO_COMP","GEO_AREA","SER_STAG","LCL_EQUN","TAX_LIFE","PA1_CODE","PA1_TEXT","PA1_MIN","PA1_MAX","PA1_UNIT","PA2_CODE","PA2_TEXT","PA2_MIN","PA2_MAX","PA2_UNIT","PA3_CODE","PA3_TEXT","PA3_MIN","PA3_MAX","PA3_UNIT","DEP_VAR","DPV_MIN","DPV_MAX","DPV_UNIT","CF1","CF2","CF3","CF4","BPK_EQFM","EQN_TYPE","DPV_O","DPV_OMIN","DPV_OMAX","DPV_OUNIT","IP1_TEXT","IP1_MIN","IP1_MAX","IP1_UNIT","IP2_TEXT","IP2_MIN","IP2_MAX","IP2_UNIT","IP3_TEXT","IP3_MIN","IP3_MAX","IP3_UNIT","ORG_EQFM","SMP_SIZE","R_SQUARE","MS_ERROR","SEE","LOG_BIOC","RAW_DATA","SRC_EQN","SRC_DAT","MARK"
37,"T","ALRU","Alnus rubra (red alder)","BAE","C","Y","01","T","DBH","Stem dia. @ breast ht",NA,NA,"cm","HT","Height",NA,NA,"cm",NA,NA,NA,NA,NA,"Total abvground wood & bark biomass",NA,NA,"g","20.","2090","-1.5",NA,"BAE = 20 + 2090*DBH^2*HT - 1.5*(DBH^2*HT)^2",8,"Total abvground wood & bark biomass",NA,NA,"kg","DBH",NA,NA,"cm","Height (HT)",NA,NA,"m",NA,NA,NA,NA,"BAE = 0.02 + 2.09 X - 0.0015 X^2                                                Where X = (DBH^2 * HT)/100 (X: Range 5.0-300.0)","119","0.98",NA,NA,NA,NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ. They took eqn. directly from Zavitkowski, J. & Stevens, R.D. 1972. Primary... Ecology 53(2):235-242.","428",FALSE
38,"T","ALRU","Alnus rubra (red alder)","BRL","C","Y","01","T","DBH","Stem dia. @ breast ht",NA,NA,"cm","HT","Height",NA,NA,"cm",NA,NA,NA,NA,NA,"Total root biomass (live)",NA,NA,"g","100.","480","-0.5",NA,"BRT = 100 + 480*DBH^2*HT -0.5*(DBH^2*HT)^2",8,"Total root biomass (live)",NA,NA,"kg","DBH",NA,NA,"cm","HT",NA,NA,"m",NA,NA,NA,NA,"BRT = 0.1  + 0.48 X - 0.0005 X^2                                                Where X = (DBH^2 * HT)/100 (X: Range 5.0-300.0)","28",NA,NA,NA,NA,NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ. They took eqn. directly from Zavitkowski, J. & Stevens, R.D. 1972. Primary... Ecology 53(2):235-242.","440",FALSE
39,"T","ALRU","Alnus rubra (red alder)","BFT","C","Y","01","T","DBH","Stem dia. @ breast ht","4.83","17.53","cm","HT","Height","564.","1326.","cm",NA,NA,NA,NA,NA,"Total abvground wood & bark biomass",NA,NA,"g","512.4","129.8",NA,NA,"BFT = 512.4 + 129.8*DBH^2*HT",9,"Total abvground wood & bark biomass",NA,NA,"kg","DBH","4.83","17.53","cm","Height (HT)","5.64","13.26","m",NA,NA,NA,NA,"BFT = 0.5124 + 0.1298 X                                                         Where X = (DBH^2 * HT)/100 (X: Range 1.3-40.8)","66","0.64","0.545","0.738",NA,NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ. They took eqn. directly from Smith, N J 1977. Estimates... M.S. thesis, Univ. B.C., Vancouver. 151 p.","452",FALSE
40,"T","CACH","Castanopsis chrysophylla (gldn chinkapin","BFT","W","O","01","T","DBH","Stem dia. @ breast ht","5.8","36.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total foliage biomass",NA,NA,"g","3.7848","1.693",NA,NA,"ln(BFT) = 3.7848 + 1.693 * ln(DBH)",2,"Total foliage biomass",NA,NA,"kg","DBH","5.8","36.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BFT) = -3.123 + 1.693 * ln(DBH)","19","0.81","0.185","0.430","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ. They took eqn. directly from Grier, C C & R S Logan. 1977. Old-growth... Ecol. Monogr. 47(4):373-400.","464",FALSE
41,"T","CACH","Castanopsis chrysophylla (gldn chinkapin","BBL","W","O","01","T","DBH","Stem dia. @ breast ht","5.8","36.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Live branch biomass",NA,NA,"g","2.3288","2.576",NA,NA,"ln(BBL) = 2.3288 + 2.576 * ln(DBH)",2,"Live branch biomass",NA,NA,"kg","DBH","5.8","36.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BBL) = -4.579 + 2.576 * ln(DBH)","19","0.89","0.224","0.473","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ. They took eqn. directly from Grier, C C & R S Logan. 1977. Old-growth... Ecol. Monogr. 47(4):373-400.","476",FALSE
42,"T","CACH","Castanopsis chrysophylla (gldn chinkapin","BBD","W","O","01","T","DBH","Stem dia. @ breast ht","5.8","36.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead branch biomass",NA,NA,"g","-0.2162","2.883",NA,NA,"ln(BBD) = -0.2162 + 2.883 * ln(DBH)",2,"Dead branch biomass",NA,NA,"kg","DBH","5.8","36.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BBD) = -7.124 + 2.883 * ln(DBH)","19","0.81","0.538","0.733","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.They took eqn. directly from Grier, C C & R S Logan. 1977. Old-growth... Ecol. Monogr. 47(4):373-400.","488",FALSE
43,"T","CACH","Castanopsis chrysophylla (gldn chinkapin","BSW","W","O","01","T","DBH","Stem dia. @ breast ht","5.8","36.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem wood biomass",NA,NA,"g","3.1998","2.658",NA,NA,"ln(BSW) = 3.1998 + 2.658 * ln(DBH)",2,"Stem wood biomass",NA,NA,"kg","DBH","5.8","36.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSW) = -3.708 + 2.658 * ln(DBH)","19","0.98","0.044","0.210","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ. They took eqn. directly from Grier, C C & R S Logan. 1977. Old-growth... Ecol. Monogr. 47(4):373-400.","500",FALSE
44,"T","CACH","Castanopsis chrysophylla (gldn chinkapin","BSB","W","O","01","T","DBH","Stem dia. @ breast ht","5.8","36.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem bark biomass",NA,NA,"g","0.98476","2.989",NA,NA,"ln(BSB) = 0.98476 + 2.989 * ln(DBH)",2,"Stem bark biomass",NA,NA,"kg","DBH","5.8","36.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSB) = -5.923 + 2.989 * ln(DBH)","19","0.97","0.068","0.261","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ. They took eqn. directly from Grier, C C & R S Logan. 1977. Old-growth... Ecol. Monogr. 47(4):373-400.","512",FALSE
45,"T","CACH","Castanopsis chrysophylla (gldn chinkapin","BFN","W","O","01","T","DBH","Stem dia. @ breast ht","5.8","36.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New foliage biomass",NA,NA,"g","2.5428","1.535",NA,NA,"ln(BFN) = 2.5428 + 1.535 * ln(DBH)",2,"New foliage biomass",NA,NA,"kg","DBH","5.8","36.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BFN) = -4.365 + 1.535 * ln(DBH)","19","0.56","0.514","0.717","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ. They took eqn. directly from Grier, C C & R S Logan. 1977. Old-growth... Ecol. Monogr. 47(4):373-400.","524",FALSE
46,"T","CEDAR","CHNO+THPL","BFT","C","O","01","T","DBH","Stem dia. @ breast ht","15.5","60.2","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total foliage biomass",NA,NA,"g","4.2908","1.7824",NA,NA,"ln(BFT) = 4.2908 + 1.7824 * ln(DBH)",2,"Total foliage biomass",NA,NA,"kg","DBH","15.5","60.2","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BFT) = -2.617 + 1.7824 * ln(DBH)","6","0.91","0.085","0.292","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.  They took the eqn. directly from Waring et al. 1978. Variation... For Sci 24:131-140.","536",FALSE
47,"T","CEDAR","CHNO+THPL","BBL","W","G","01","T","DBH","Stem dia. @ breast ht","15.5","60.2","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Live branch biomass",NA,NA,"g","3.6417","2.0877",NA,NA,"ln(BBL) =  3.6417+ 2.0877 * ln(DBH)",2,"Live branch biomass",NA,NA,"kg","DBH","15.5","60.2","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BBL) = -3.2661+ 2.0877 * ln(DBH)","6","0.94","0.071","0.266","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","548",FALSE
48,"T","CEDAR","CHNO+THPL","BSW","W","G","01","T","DBH","Stem dia. @ breast ht","15.5","60.2","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem wood biomass (without bark)",NA,NA,"g","4.8151","2.1863",NA,NA,"ln(BSW) =  4.8151 + 2.1863 * ln(DBH)",2,"Stem wood biomass (without bark)",NA,NA,"kg","DBH","15.5","60.2","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSW) = -2.0927 + 2.1863 * ln(DBH)","6","0.96","0.058","0.241","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","560",FALSE
49,"T","CEDAR","CHNO+THPL","BSB","W","G","01","T","DBH","Stem dia. @ breast ht","15.5","60.2","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem bark biomass",NA,NA,"g","2.7144","2.1101",NA,NA,"ln(BSB) =  2.7144 + 2.1101 * ln(DBH)",2,"Stem bark biomass",NA,NA,"kg","DBH","15.5","60.2","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSB) = -4.1934 + 2.1101 * ln(DBH)","6","0.95","0.055","0.235","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","572",FALSE
50,"T","JUOC","Juniperus occidentalis (western juniper)","BFT","E","G","01","T","CIR","Stem basal circumference","14.5","273.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total foliage biomass",NA,NA,"g","2.6768","1.5606",NA,NA,"ln(BFT) = 2.6768 + 1.5606 * ln(CIR)",2,"Total foliage biomass",NA,NA,"kg","Stem basal circumference at litter surface","14.5","273.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BFT) = -4.231 + 1.5606 * ln(CIR)","10","0.99","0.024","0.155","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.  Gholz fit the equation (see Gholz, H L. 1980. Structure... Am Midl Nat 103(2):251-261).","584",FALSE
51,"T","JUOC","Juniperus occidentalis (western juniper)","BBL","E","G","01","T","CIR","Stem basal circumference","14.5","273.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Live branch biomass",NA,NA,"g","-0.3697","2.3337",NA,NA,"ln(BBL) = -0.3697+ 2.3337 * ln(CIR)",2,"Live branch biomass",NA,NA,"kg","Stem basal circumference at litter surface","14.5","273.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BBL) = -7.2775+ 2.3337 * ln(CIR)","10","0.99","0.068","0.261","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.  Gholz fit the equation (see Gholz, H L. 1980. Structure... Am Midl Nat 103(2):251-261).","596",FALSE
52,"T","JUOC","Juniperus occidentalis (western juniper)","BBD","E","G","01","T","CIR","Stem basal circumference","14.5","273.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead branch biomass",NA,NA,"g","-4.6062","2.8323",NA,NA,"ln(BBD) =  -4.6062 + 2.8323 * ln(CIR)",2,"Dead branch biomass",NA,NA,"kg","Stem basal circumference at litter surface","14.5","273.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BBD) = -11.5140 + 2.8323 * ln(CIR)","10","0.91","0.664","0.815","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.  Gholz fit the equation (see Gholz, H L. 1980. Structure... Am Midl Nat 103(2):251-261).","608",FALSE
53,"T","JUOC","Juniperus occidentalis (western juniper)","BSW","E","G","01","T","CIR","Stem basal circumference","14.5","273.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem wood biomass",NA,NA,"g","-1.6724","2.6389",NA,NA,"ln(BSW) = -1.6724 + 2.6389 * ln(CIR)",2,"Stem wood biomass",NA,NA,"kg","Stem basal circumference at litter surface","14.5","273.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSW) = -8.5802 + 2.6389 * ln(CIR)","10","0.99","0.029","0.170","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.  Gholz fit the equation (see Gholz, H L. 1980. Structure... Am Midl Nat 103(2):251-261).","620",FALSE
54,"T","JUOC","Juniperus occidentalis (western juniper)","BSB","E","G","01","T","CIR","Stem basal circumference","14.5","273.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem bark biomass",NA,NA,"g","-3.2672","2.6333",NA,NA,"ln(BSB) = -3.2672 + 2.6333 * ln(CIR)",2,"Stem bark biomass",NA,NA,"kg","Stem basal circumference at litter surface","14.5","273.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSB) = -10.175 + 2.6333 * ln(CIR)","10","0.99","0.152","0.390","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.  Gholz fit the equation (see Gholz, H L. 1980. Structure... Am Midl Nat 103(2):251-261).","632",FALSE
55,"T","JUOC","Juniperus occidentalis (western juniper)","AFT","E","G","01","T","CIR","Stem basal circumference","14.5","273.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total all-sided leaf area",NA,NA,"cm^2","6.4567","1.5361",NA,NA,"ln(AFT) =  6.4567 + 1.5361 * ln(CIR)",2,"Total all-sided leaf area",NA,NA,"m^2","Stem basal circumference at litter surface","14.5","273.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(AFT) = -2.7536 + 1.5361 * ln(CIR)","10","0.99","0.019","0.138","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.  Gholz fit the equation (see Gholz, H L. 1980. Structure... Am Midl Nat 103(2):251-261).","644",FALSE
56,"T","JUOC","Juniperus occidentalis (western juniper)","VSW","E","G","01","T","CIR","Stem basal circumference","14.5","273.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem wood volume",NA,NA,"cm^3","-0.8278","2.6006",NA,NA,"ln(VSW) = -0.8278 + 2.6006 * ln(CIR)",2,"Stem wood volume",NA,NA,"cm^3","Stem basal circumference at litter surface","14.5","273.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(VSW) = -.8278 + 2.6006 * ln(CIR)","10","0.99","0.058","0.241","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.  Gholz fit the equation (see Gholz, H L. 1980. Structure... Am Midl Nat 103(2):251-261).","656",FALSE
57,"T","JUOC","Juniperus occidentalis (western juniper)","VSB","E","G","01","T","CIR","Stem basal circumference","14.5","273.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem bark volume",NA,NA,"cm^3","-2.4884","2.6006",NA,NA,"ln(VSB) = -2.4884 + 2.6006 * ln(CIR)",2,"Stem bark volume",NA,NA,"cm^3","Stem basal circumference at litter surface","14.5","273.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(VSB) = -2.4884 + 2.6006 * ln(CIR)","10","0.98","0.106","0.326","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.  Gholz fit the equation (see Gholz, H L. 1980. Structure... Am Midl Nat 103(2):251-261).","668",FALSE
58,"T","PINUS","Pinus (pooled pine species)","BFT","G","M","01","T","DBH","Stem dia. @ breast ht","2.5","79.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total foliage biomass",NA,NA,"g","2.93386","2.0039",NA,NA,"ln(BFT) = 2.93386 + 2.0039 * ln(DBH)",2,"Total foliage biomass",NA,NA,"kg","DBH","2.5","79.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BFT) = -3.9739 + 2.0039 * ln(DBH)","33","0.89","0.257","0.507","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","680",FALSE
59,"T","PINUS","Pinus (pooled pine species)","BBL","G","M","01","T","DBH","Stem dia. @ breast ht","2.5","79.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Live branch biomass",NA,NA,"g","1.6178","2.6524",NA,NA,"ln(BBL) =  1.6178 + 2.6524 * ln(DBH)",2,"Live branch biomass",NA,NA,"kg","DBH","2.5","79.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BBL) = -5.2900 + 2.6524 * ln(DBH)","33","0.95","0.216","0.465","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","691",FALSE
60,"T","PINUS","Pinus (pooled pine species)","BBD","G","M","01","T","DBH","Stem dia. @ breast ht","15.5","79.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead branch biomass",NA,NA,"g","3.1109","1.7426",NA,NA,"ln(BBD) =  3.1109 + 1.7426 * ln(DBH)",2,"Dead branch biomass",NA,NA,"kg","DBH","15.5","79.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BBD) = -3.7969 + 1.7426 * ln(DBH)","14","0.53","0.129","0.359","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","702",FALSE
61,"T","PINUS","Pinus (pooled pine species)","BSW","G","M","01","T","DBH","Stem dia. @ breast ht","15.5","79.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem wood biomass",NA,NA,"g","2.6231","2.7180",NA,NA,"ln(BSW) =  2.6231 + 2.7180 * ln(DBH)",2,"Stem wood biomass",NA,NA,"kg","DBH","15.5","79.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSW) = -4.2847 + 2.7180 * ln(DBH)","14","0.98","0.036","0.190","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","713",FALSE
62,"T","PINUS","Pinus (pooled pine species)","BSB","G","M","01","T","DBH","Stem dia. @ breast ht (DBH)","15.5","79.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem bark biomass",NA,NA,"g","2.7016","2.2475",NA,NA,"ln(BSB) =  2.7016 + 2.2475 * ln(DBH)",2,"Stem bark biomass",NA,NA,"kg","DBH","15.5","79.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSB) = -4.2062 + 2.2475 * ln(DBH)","14","0.95","0.067","0.259","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","724",FALSE
63,"T","PICO","Pinus contorta (lodgepole pine)","BFT","R","M","01","T","DBH","Stem dia. @ breast ht","2.5","28.7","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total foliage biomass",NA,NA,"g","3.2891","1.8362",NA,NA,"ln(BFT) =  3.2891 + 1.8362 * ln(DBH)",2,"Total foliage biomass",NA,NA,"kg","DBH","2.5","28.7","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BFT) = -3.6187 + 1.8362 * ln(DBH)","19","0.84","0.230","0.480","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ. They took eqn. directly from Reid et al. 1974. Effects... (see below for complete ref.)","735",FALSE
64,"T","PICO","Pinus contorta (lodgepole pine)","BBL","R","M","03","T","DBH","Stem dia. @ breast ht","2.5","28.7","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Live branch biomass",NA,NA,"g","2.30736","2.3533",NA,NA,"ln(BBL) = 2.30736 + 2.3533 * ln(DBH)",2,"Live branch biomass",NA,NA,"kg","DBH","2.5","28.7","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BBL) = -4.6004 + 2.3533 * ln(DBH)","19","0.89","0.243","0.493","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ. They took eqn. directly from Reid et al. 1974. Effects... (see below for complete ref.)","747",FALSE
65,"T","PICO","Pinus contorta (lodgepole pine)","BST","R","M","01","T","DBH","Stem dia. @ breast ht","2.5","28.7","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total stem biomass",NA,NA,"g","3.9229","2.4287",NA,NA,"ln(BST) =  3.9229 + 2.4287 * ln(DBH)",2,"Total stem biomass",NA,NA,"kg","DBH","2.5","28.7","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BST) = -2.9849 + 2.4287 * ln(DBH)","19","0.98","0.052","0.228","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ. They took eqn. directly from Reid et al. 1974. Effects... (see below for complete ref.)","759",FALSE
66,"T","PILA","Pinus lambertiana (sugar pine)","BFT","W","O","01","T","DBH","Stem dia. @ breast ht","20.6","43.3","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total foliage biomass",NA,NA,"g","2.8848","2.0327",NA,NA,"ln(BFT) =  2.8848 + 2.0327 * ln(DBH)",2,"Total foliage biomass",NA,NA,"kg","DBH","20.6","43.3","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BFT) = -4.0230 + 2.0327 * ln(DBH)","5","0.52","0.438","0.662","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ. They took eqn. directly from Grier, C C and R S Logan 1977. Old-growth... Ecol. Monogr. 47(4):373-400.","771",FALSE
67,"T","PILA","Pinus lambertiana (sugar pine)","BBL","W","O","01","T","DBH","Stem dia. @ breast ht","20.6","43.3","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Live branch biomass",NA,NA,"g","-0.72925","3.3648",NA,NA,"ln(BBL) = -0.72925 + 3.3648 * ln(DBH)",2,"Live branch biomass",NA,NA,"kg","DBH","20.6","43.3","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BBL) = -7.637  + 3.3648 * ln(DBH)","5","0.81","0.300","0.548","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ. They took eqn. directly from Grier, C C and R S Logan 1977. Old-growth... Ecol. Monogr. 47(4):373-400.","783",FALSE
68,"T","PILA","Pinus lambertiana (sugar pine)","BSW","W","O","01","T","DBH","Stem dia. @ breast ht","20.6","43.3","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem wood biomass",NA,NA,"g","2.9238","2.6667",NA,NA,"ln(BSW) = 2.9238  + 2.6667 * ln(DBH)",2,"Stem wood biomass",NA,NA,"kg","DBH","20.6","43.3","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSW) = -3.984  + 2.6667 * ln(DBH)","5","0.96","0.038","0.195","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ. They took eqn. directly from Grier, C C and R S Logan 1977. Old-growth... Ecol. Monogr. 47(4):373-400.","795",FALSE
69,"T","PILA","Pinus lambertiana (sugar pine)","BSB","W","O","01","T","DBH","Stem dia. @ breast ht","20.6","43.3","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem bark biomass",NA,NA,"g","1.6128","2.6186",NA,NA,"ln(BSB) = 1.6128  + 2.6186 * ln(DBH)",2,"Stem bark biomass",NA,NA,"kg","DBH","20.6","43.3","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSB) = -5.295  + 2.6186 * ln(DBH)","5","0.91","0.081","0.285","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ. They took eqn. directly from Grier, C C and R S Logan 1977. Old-growth... Ecol. Monogr. 47(4):373-400.","807",FALSE
70,"T","PIPO","Pinus ponderosa (ponderosa pine)","BFT","R","G","01","T","DBH","Stem dia. @ breast ht","15.5","79.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total foliage biomass",NA,NA,"g","2.64656","2.0967",NA,NA,"ln(BFT) = 2.64656 + 2.0967 * ln(DBH)",2,"Total foliage biomass",NA,NA,"kg","DBH","15.5","79.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BFT) = -4.2612 + 2.0967 * ln(DBH)","9","0.84","0.338","0.581","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","819",FALSE
71,"T","PIPO","Pinus ponderosa (ponderosa pine)","BBL","R","G","01","T","DBH","Stem dia. @ breast ht","15.5","79.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Live branch biomass",NA,NA,"g","1.5223","2.7185",NA,NA,"ln(BBL) =  1.5223 + 2.7185 * ln(DBH)",2,"Live branch biomass",NA,NA,"kg","DBH (1.3 m)","15.5","79.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BBL) = -5.3855 + 2.7185 * ln(DBH)","9","0.99","0.042","0.205","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","831",FALSE
72,"T","PIPO","Pinus ponderosa (ponderosa pine)","BBD","R","G","01","T","DBH","Stem dia. @ breast ht","15.5","79.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead branch biomass",NA,NA,"g","4.3312","1.444",NA,NA,"ln(BBD) =  4.3312 + 1.444 * ln(DBH)",2,"Dead branch biomass",NA,NA,"kg","DBH (1.3 m)","15.5","79.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BBD) = -2.5766 + 1.444 * ln(DBH)","9","0.64","NA",NA,"N",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","843",FALSE
73,"T","PIPO","Pinus ponderosa (ponderosa pine)","BSW","R","G","01","T","DBH","Stem dia. @ breast ht","15.5","79.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem wood biomass",NA,NA,"g","2.4171","2.7587",NA,NA,"ln(BSW) =  2.4171 + 2.7587 * ln(DBH)",2,"Stem wood biomass",NA,NA,"kg","DBH (1.3 m)","15.5","79.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSW) = -4.4907 + 2.7587 * ln(DBH)","9","0.99","0.031","0.176","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","855",FALSE
